time,LSTM,CNN,GRU,bilstm,cnn-bilstm,cnn-gru,cnn-gru-attention,emd-cnn-gru-attention,eemd-cnn-gru-attention,iceemdan-cnn-gru-attention,vmd-cnn-gru-attention,iceemdan-cnn-gru-attention-arima,vmd-cnn-gru-attention-arima,vmd-cnn-gru-attention-vmd-arima,
2017/9/7 11:45,11.67181224,15.69211,14.365041,15.426269,14.332473,12.621787,14.486994,13.536916,10.219765,11.67181224,11.66666485,11.66666485,14.75827546,14.25040394,
2017/9/7 12:00,9.631224291,18.009792,15.914941,16.963791,17.773014,15.452549,17.521231,5.3926039,7.5233445,9.631224291,9.594680686,9.594680686,9.995888221,10.04791374,
2017/9/7 12:15,10.30115534,12.576587,11.986868,12.391165,10.973291,10.046213,10.867097,19.060944,9.0899696,10.30115534,12.87056821,12.87056821,10.81196751,10.28529326,
2017/9/7 12:30,8.827243451,11.888842,12.01787,11.27063,10.926929,10.564251,11.444817,9.6319199,8.0395622,8.827243451,7.137439594,7.137439594,7.36573559,8.704253519,
2017/9/7 12:45,4.905408231,10.93781,10.713824,10.71449,9.0491438,8.9078026,9.6706848,-1.2786634,5.7782669,4.905408231,4.221459644,4.221459644,4.332013076,4.052533618,
2017/9/7 13:00,5.34194628,8.4264679,7.8591499,7.3630896,4.469275,4.5296431,5.448832,0.67353916,6.0305882,5.34194628,4.214682937,4.214682937,2.455102114,1.698644485,
2017/9/7 13:15,8.99291674,3.8754551,4.4630547,3.9776306,2.5056758,2.5229297,2.4132986,3.8999364,9.9099436,8.99291674,6.226471971,6.226471971,4.256012033,3.483178565,
2017/9/7 13:30,15.56451332,5.2898922,5.4841833,4.4870143,4.4337626,4.3074913,4.5433087,12.070181,14.668257,15.56451332,13.17078899,13.17078899,15.13018017,16.06964255,
2017/9/7 13:45,11.86145107,16.523518,15.148331,14.996706,16.709841,15.64792,16.33814,15.694839,11.868634,11.86145107,9.3885853,9.3885853,6.904081867,6.09461324,
2017/9/7 14:00,11.70030638,8.4603901,7.7001338,8.2774973,5.8234601,5.564961,7.4827409,8.3898935,10.826281,11.70030638,10.39495461,10.39495461,4.977497206,5.811879867,
2017/9/7 14:15,9.532654342,6.5600061,5.9881287,6.0355363,4.1664944,4.4352689,5.4345007,12.495352,9.0303183,9.532654342,6.392339206,6.392339206,9.197205797,10.19352576,
2017/9/7 14:30,4.687668989,10.332763,9.6327763,9.4178047,10.497118,9.8265514,9.7012787,9.8779964,4.2362471,4.687668989,3.001982902,3.001982902,5.165806236,4.073267339,
2017/9/7 14:45,2.321527399,6.6583328,5.8052907,6.1399608,4.8656545,4.5249329,5.2072239,5.0089483,1.5398093,2.321527399,3.415891841,3.415891841,2.348885357,1.841326936,
2017/9/7 15:00,-0.415300297,3.8091309,3.1066141,3.219682,2.3170466,2.4843488,2.2660825,-3.3944464,-0.059895962,-0.415300297,1.021114174,1.021114174,-0.094415733,-0.2294109,
2017/9/7 15:15,0.291011107,0.57168877,2.1225529,0.34776655,1.2835852,1.0598513,0.73787534,-1.6323349,-0.15116739,0.291011107,0.312279694,0.312279694,0.302901477,-0.261375653,
