日期,收盘,开盘,高,低,交易量,涨跌幅
2020年5月28日,13.64,14.39,14.43,13.55,39.90M,-5.41%
2020年5月29日,12.95,13.54,13.54,12.72,61.38M,-5.06%
2020年6月1日,13.81,12.9,13.9,12.67,36.78M,6.64%
2020年6月2日,14.75,14.02,14.75,13.91,40.17M,6.81%
2020年6月3日,15.45,15.34,15.61,15.04,41.19M,4.75%
2020年6月4日,15.55,15.08,15.7,14.59,39.03M,0.65%
2020年6月5日,20.79,17.9,20.85,17.81,119.07M,33.70%
2020年6月8日,24.4,23.53,24.5,22,131.29M,17.36%
2020年6月9日,23.18,22.75,23.46,20.48,71.94M,-5.00%
2020年6月10日,20.76,22.02,22.35,20.75,50.74M,-10.44%
2020年6月11日,17.41,17.84,19.18,17.26,61.26M,-16.14%
2020年6月12日,18.5,18.88,19.6,17.65,44.94M,6.26%
2020年6月15日,19.05,17.34,19.46,17.1,46.13M,2.97%
2020年6月16日,20.29,20.47,20.95,19.13,57.50M,6.51%
2020年6月17日,19.04,19.91,20.05,19.04,38.37M,-6.16%
2020年6月18日,19.67,18.82,20.32,18.65,36.05M,3.31%
2020年6月19日,19.71,20.7,20.96,19.67,70.26M,0.20%
2020年6月22日,19.91,19.85,20.11,19.39,30.12M,1.01%
2020年6月23日,19.79,20.26,20.52,19.63,33.86M,-0.60%
2020年6月24日,18,19.24,19.32,17.67,32.32M,-9.04%
2020年6月25日,18.54,17.8,18.9,17.55,23.33M,3.00%
2020年6月26日,17.69,18.2,18.34,17.35,31.83M,-4.58%
2020年6月29日,17.86,17.85,18.01,17.34,24.50M,0.96%
2020年6月30日,18.3,17.77,18.35,17.27,26.53M,2.46%
2020年7月1日,17.41,18.32,18.83,17.41,32.86M,-4.86%
2020年7月2日,17.78,17.92,18.63,17.61,28.13M,2.13%
2020年7月6日,18.18,18.21,18.54,17.78,23.93M,2.25%
2020年7月7日,17.15,17.9,17.94,17.14,20.12M,-5.67%
2020年7月8日,17.28,17.27,17.47,16.71,20.48M,0.76%
2020年7月9日,16.28,17.2,17.26,16.26,22.12M,-5.79%
2020年7月10日,16.71,16.06,16.75,15.95,17.58M,2.64%
2020年7月13日,16.16,16.76,16.81,16,21.67M,-3.29%
2020年7月14日,16.68,15.95,16.76,15.75,19.74M,3.22%
2020年7月15日,17.18,17.29,17.73,16.9,22.80M,3.00%
2020年7月16日,17.01,16.9,17.4,16.57,15.46M,-0.99%
2020年7月17日,16.28,17.04,17.35,16.16,21.09M,-4.29%
